               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11199,            0.077801,            0.063547,           0.0004067,            0.028869,          0.00033805,          8.3302e-05,             0.09219,            0.039383,            0.057578,              0.0829,              0.0019,              0.0019
                   1,            0.090946,            0.093546,            0.057216,           0.0063196,             0.16712,           0.0051673,           0.0015587,            0.081861,            0.048541,            0.051502,            0.064861,           0.0038614,           0.0038614
                   2,            0.084211,            0.083696,             0.04781,             0.54357,            0.057143,            0.049219,            0.017567,            0.081428,            0.040527,            0.043494,            0.046783,           0.0057832,           0.0057832
                   3,            0.083586,            0.072393,            0.044961,             0.92494,             0.04958,            0.030036,           0.0090968,            0.086933,            0.031291,            0.041201,            0.028665,           0.0076654,           0.0076654
                   4,             0.08201,            0.067602,            0.042818,            0.055268,             0.21716,            0.048999,            0.017315,            0.084211,            0.025928,            0.038031,            0.010508,            0.009508,            0.009508
                   5,            0.076953,            0.063346,            0.041285,            0.084389,             0.30838,             0.12295,            0.036625,            0.064992,            0.031239,            0.035656,            0.009505,            0.009505,            0.009505
                   6,            0.076085,            0.064064,            0.040461,             0.26249,             0.27524,             0.13225,            0.047872,            0.078151,            0.029431,            0.036393,            0.009505,            0.009505,            0.009505
                   7,            0.065286,            0.062542,            0.039318,             0.31248,             0.44865,             0.24136,            0.097762,            0.054353,            0.030915,             0.03333,            0.009406,            0.009406,            0.009406
                   8,            0.058906,            0.062805,            0.038128,             0.24905,             0.55492,             0.15836,            0.058872,            0.058429,            0.038221,            0.032044,            0.009307,            0.009307,            0.009307
                   9,            0.057245,            0.058934,             0.03506,             0.23894,             0.55911,             0.28705,             0.11778,            0.053546,            0.029114,            0.030357,            0.009208,            0.009208,            0.009208
                  10,            0.053969,             0.05934,            0.032761,               0.333,             0.56842,             0.35356,             0.18315,            0.046861,            0.031293,            0.028683,            0.009109,            0.009109,            0.009109
                  11,            0.050956,            0.060351,            0.030448,              0.3118,             0.58934,             0.32558,             0.13729,            0.047187,            0.029929,            0.026091,             0.00901,             0.00901,             0.00901
                  12,            0.048721,            0.059706,            0.030203,             0.41199,             0.59236,             0.38752,             0.22732,            0.038524,            0.027812,            0.024792,            0.008911,            0.008911,            0.008911
                  13,            0.046326,            0.058984,            0.029238,             0.43411,             0.57281,             0.43716,             0.20768,            0.041812,            0.029015,            0.024387,            0.008812,            0.008812,            0.008812
                  14,            0.043365,            0.057204,            0.025914,             0.46259,             0.61262,             0.43298,             0.22575,            0.040933,            0.029911,            0.023431,            0.008713,            0.008713,            0.008713
                  15,            0.042336,            0.059029,            0.026929,             0.42586,             0.62683,             0.43126,             0.25201,            0.035395,            0.027166,            0.022769,            0.008614,            0.008614,            0.008614
                  16,            0.041622,            0.055373,            0.026421,             0.40271,             0.66278,             0.41132,             0.19572,            0.037483,            0.026722,            0.022092,            0.008515,            0.008515,            0.008515
                  17,            0.039732,            0.056958,            0.024269,             0.44501,             0.65556,              0.4891,             0.27038,             0.03347,            0.027608,            0.020717,            0.008416,            0.008416,            0.008416
                  18,            0.038519,            0.057112,            0.022885,             0.41123,             0.68678,             0.46069,             0.24375,            0.037186,            0.028136,            0.019961,            0.008317,            0.008317,            0.008317
                  19,            0.039052,            0.054487,            0.023364,              0.3969,              0.7267,             0.53849,             0.30453,            0.031943,            0.026566,            0.019753,            0.008218,            0.008218,            0.008218
                  20,            0.038407,            0.056104,            0.022521,             0.47441,             0.64695,             0.50126,             0.28205,            0.034875,            0.027037,            0.019172,            0.008119,            0.008119,            0.008119
                  21,            0.037806,            0.054987,            0.021923,             0.50902,             0.68699,             0.51241,             0.28358,            0.030687,            0.028748,            0.018581,             0.00802,             0.00802,             0.00802
                  22,            0.036714,            0.053556,            0.020373,             0.49575,             0.69608,             0.52981,             0.31277,            0.037577,            0.027282,            0.017911,            0.007921,            0.007921,            0.007921
                  23,            0.037561,             0.05388,            0.022169,             0.42407,              0.7846,             0.55493,             0.34766,             0.03141,            0.026189,            0.017715,            0.007822,            0.007822,            0.007822
                  24,            0.034941,            0.051828,            0.020833,             0.38148,             0.79851,             0.54142,              0.3133,            0.034627,            0.027847,            0.016213,            0.007723,            0.007723,            0.007723
                  25,            0.035537,             0.05361,            0.019718,             0.44881,             0.82587,             0.55698,             0.32113,             0.03114,            0.027206,            0.015394,            0.007624,            0.007624,            0.007624
                  26,            0.034376,            0.055123,            0.018933,             0.43398,             0.80299,             0.58055,             0.29251,              0.0334,            0.029517,            0.015098,            0.007525,            0.007525,            0.007525
                  27,            0.035326,            0.051845,            0.019655,              0.4748,             0.78605,             0.59959,             0.37839,            0.027866,            0.026316,            0.015061,            0.007426,            0.007426,            0.007426
                  28,            0.032748,            0.052389,            0.017665,             0.43582,             0.80318,             0.59878,             0.35354,            0.027524,            0.026993,            0.014041,            0.007327,            0.007327,            0.007327
                  29,            0.032722,            0.052039,            0.017554,             0.49877,             0.79034,              0.6286,             0.41372,            0.028766,             0.02882,            0.014046,            0.007228,            0.007228,            0.007228
                  30,            0.032338,            0.051205,            0.016842,             0.47545,             0.79277,             0.63361,             0.39269,            0.029218,            0.027862,            0.013196,            0.007129,            0.007129,            0.007129
                  31,            0.032853,            0.051535,            0.016852,             0.51459,              0.7941,             0.64401,             0.36252,            0.028964,            0.028725,            0.012892,             0.00703,             0.00703,             0.00703
                  32,            0.031588,            0.051386,            0.017807,             0.52103,             0.77747,             0.63885,             0.38359,            0.029016,            0.028748,            0.013354,            0.006931,            0.006931,            0.006931
                  33,            0.031257,            0.050543,            0.016862,             0.57345,             0.79352,             0.68074,             0.42688,            0.029051,            0.028019,            0.012063,            0.006832,            0.006832,            0.006832
                  34,            0.030014,            0.048926,            0.015515,             0.57479,             0.82256,             0.69123,             0.44665,            0.026685,            0.028648,            0.011476,            0.006733,            0.006733,            0.006733
                  35,            0.031079,            0.051127,            0.016502,             0.55482,             0.80982,             0.67532,             0.45034,            0.025309,            0.026684,            0.011599,            0.006634,            0.006634,            0.006634
                  36,            0.031156,            0.047358,            0.015814,             0.64829,              0.8248,             0.69896,             0.46323,            0.027415,            0.028562,            0.011083,            0.006535,            0.006535,            0.006535
                  37,            0.030425,            0.050177,            0.014984,             0.68336,             0.84976,             0.72604,             0.48117,            0.026136,             0.02725,            0.010858,            0.006436,            0.006436,            0.006436
                  38,            0.029342,            0.049473,            0.014098,             0.66349,             0.86401,             0.73462,             0.47148,            0.026492,            0.027216,            0.010238,            0.006337,            0.006337,            0.006337
                  39,            0.029401,            0.048904,            0.014414,             0.67531,              0.8817,             0.73835,             0.44292,            0.027705,            0.027195,           0.0096677,            0.006238,            0.006238,            0.006238
                  40,            0.029241,             0.04849,            0.013754,             0.68805,             0.88179,             0.74953,             0.48788,            0.026745,            0.028437,           0.0097402,            0.006139,            0.006139,            0.006139
                  41,            0.028594,            0.047839,            0.014113,             0.69966,             0.88499,             0.76036,             0.49304,            0.026282,            0.027868,           0.0095527,             0.00604,             0.00604,             0.00604
                  42,            0.028449,            0.047328,            0.013743,             0.72728,             0.89606,             0.76545,             0.50475,            0.024747,            0.028436,           0.0092893,            0.005941,            0.005941,            0.005941
